time 05h 46m 23s, episodes 22886, frames 23476699, run epr 97.07, run loss 21.36
time 05h 47m 29s, episodes 22924, frames 23550815, run epr 99.34, run loss 10.81
time 05h 49m 05s, episodes 22981, frames 23659784, run epr 105.27, run loss 22.21
time 05h 50m 13s, episodes 23023, frames 23737249, run epr 107.92, run loss 25.41
time 05h 51m 24s, episodes 23066, frames 23817336, run epr 102.63, run loss 18.18
time 05h 52m 33s, episodes 23104, frames 23895786, run epr 109.18, run loss 34.96
time 05h 53m 35s, episodes 23141, frames 23965173, run epr 106.86, run loss 35.80

	step 24000000: saved model

time 05h 54m 50s, episodes 23186, frames 24050830, run epr 108.86, run loss 26.52
time 05h 55m 54s, episodes 23223, frames 24122858, run epr 108.40, run loss 39.28
time 05h 57m 03s, episodes 23269, frames 24201623, run epr 92.94, run loss 23.41
time 05h 58m 04s, episodes 23304, frames 24270558, run epr 101.97, run loss 23.53
time 05h 59m 33s, episodes 23356, frames 24371818, run epr 109.02, run loss 39.65
time 06h 00m 49s, episodes 23400, frames 24458091, run epr 110.24, run loss 38.59
time 06h 02m 00s, episodes 23445, frames 24538323, run epr 110.57, run loss 29.07
time 06h 03m 33s, episodes 23497, frames 24641321, run epr 114.91, run loss 45.45
time 06h 04m 43s, episodes 23537, frames 24721854, run epr 119.36, run loss 46.38
time 06h 05m 50s, episodes 23575, frames 24796815, run epr 113.42, run loss 39.00
time 06h 06m 51s, episodes 23614, frames 24866282, run epr 102.76, run loss 24.14
time 06h 07m 53s, episodes 23651, frames 24936837, run epr 116.81, run loss 45.79
time 06h 09m 12s, episodes 23694, frames 25026159, run epr 124.54, run loss 47.99
time 06h 10m 14s, episodes 23732, frames 25096663, run epr 131.87, run loss 61.24
time 06h 11m 19s, episodes 23771, frames 25170608, run epr 117.75, run loss 40.14
time 06h 12m 26s, episodes 23807, frames 25246339, run epr 122.85, run loss 36.89
time 06h 13m 46s, episodes 23853, frames 25336445, run epr 118.84, run loss 27.35
time 06h 15m 18s, episodes 23904, frames 25440068, run epr 118.37, run loss 28.55
time 06h 16m 44s, episodes 23954, frames 25537291, run epr 132.55, run loss 42.89
time 06h 17m 53s, episodes 23992, frames 25615283, run epr 114.14, run loss 20.19
time 06h 19m 05s, episodes 24032, frames 25697351, run epr 109.21, run loss 12.84
time 06h 20m 21s, episodes 24075, frames 25782669, run epr 117.89, run loss 31.87
time 06h 21m 27s, episodes 24115, frames 25858271, run epr 120.08, run loss 29.04
time 06h 22m 37s, episodes 24158, frames 25938235, run epr 122.36, run loss 54.72

	step 26000000: saved model


	step 26000000: saved model

time 06h 24m 04s, episodes 24208, frames 26037445, run epr 123.14, run loss 48.23
time 06h 25m 08s, episodes 24242, frames 26109395, run epr 130.98, run loss 60.28
time 06h 26m 37s, episodes 24294, frames 26211157, run epr 123.89, run loss 44.17
time 06h 27m 43s, episodes 24336, frames 26286203, run epr 119.73, run loss 49.03
time 06h 28m 52s, episodes 24377, frames 26364217, run epr 124.64, run loss 58.74
time 06h 30m 09s, episodes 24425, frames 26450980, run epr 112.06, run loss 32.03
time 06h 31m 18s, episodes 24459, frames 26527529, run epr 121.96, run loss 32.19
time 06h 32m 23s, episodes 24497, frames 26600329, run epr 131.54, run loss 53.02
time 06h 33m 33s, episodes 24538, frames 26678021, run epr 119.91, run loss 41.90
time 06h 34m 42s, episodes 24577, frames 26756455, run epr 117.03, run loss 35.98
time 06h 36m 00s, episodes 24623, frames 26844757, run epr 111.92, run loss 26.81
time 06h 37m 35s, episodes 24683, frames 26952701, run epr 112.94, run loss 31.02
time 06h 38m 47s, episodes 24723, frames 27033440, run epr 118.30, run loss 32.50
time 06h 39m 53s, episodes 24761, frames 27109065, run epr 133.74, run loss 61.86
time 06h 41m 09s, episodes 24802, frames 27195056, run epr 122.07, run loss 46.38
time 06h 42m 26s, episodes 24846, frames 27282043, run epr 134.58, run loss 67.96
time 06h 43m 39s, episodes 24890, frames 27365253, run epr 115.07, run loss 31.81
