time 05h 47m 07s, episodes 16820, frames 14510906, run epr 656.51, run loss 397.50
time 05h 48m 09s, episodes 16870, frames 14553602, run epr 551.16, run loss 386.89
time 05h 49m 27s, episodes 16933, frames 14607321, run epr 559.81, run loss 392.38
time 05h 50m 40s, episodes 16993, frames 14657009, run epr 499.85, run loss 354.44
time 05h 51m 52s, episodes 17052, frames 14706500, run epr 542.35, run loss 403.87
time 05h 52m 57s, episodes 17103, frames 14751439, run epr 601.93, run loss 406.73
time 05h 54m 10s, episodes 17159, frames 14801565, run epr 621.87, run loss 420.33
time 05h 55m 43s, episodes 17235, frames 14866405, run epr 613.20, run loss 423.26
time 05h 56m 52s, episodes 17292, frames 14913895, run epr 582.91, run loss 406.90
time 05h 58m 16s, episodes 17355, frames 14971764, run epr 595.69, run loss 407.71
time 05h 59m 32s, episodes 17416, frames 15024539, run epr 616.02, run loss 375.46
time 06h 00m 47s, episodes 17474, frames 15076136, run epr 611.79, run loss 405.54
time 06h 02m 00s, episodes 17533, frames 15121719, run epr 602.70, run loss 444.81
time 06h 03m 16s, episodes 17591, frames 15173758, run epr 625.53, run loss 423.57
time 06h 04m 21s, episodes 17644, frames 15218573, run epr 649.60, run loss 435.44
time 06h 05m 29s, episodes 17700, frames 15265556, run epr 611.64, run loss 422.98
time 06h 06m 50s, episodes 17760, frames 15321212, run epr 664.81, run loss 471.00
time 06h 07m 52s, episodes 17809, frames 15363956, run epr 705.69, run loss 485.39
time 06h 09m 12s, episodes 17871, frames 15419273, run epr 596.87, run loss 420.07
time 06h 10m 13s, episodes 17921, frames 15461800, run epr 563.93, run loss 380.19
time 06h 11m 34s, episodes 17983, frames 15517776, run epr 636.85, run loss 434.55
time 06h 12m 35s, episodes 18032, frames 15559726, run epr 633.96, run loss 417.84
time 06h 13m 47s, episodes 18090, frames 15609436, run epr 637.57, run loss 427.85
time 06h 15m 04s, episodes 18149, frames 15662773, run epr 657.53, run loss 406.79
time 06h 16m 25s, episodes 18208, frames 15713325, run epr 546.75, run loss 378.67
time 06h 17m 47s, episodes 18273, frames 15768750, run epr 564.87, run loss 377.07
time 06h 18m 47s, episodes 18320, frames 15810938, run epr 577.62, run loss 425.83
time 06h 19m 57s, episodes 18376, frames 15859922, run epr 625.31, run loss 443.90
time 06h 21m 12s, episodes 18432, frames 15911331, run epr 598.39, run loss 401.37
time 06h 22m 21s, episodes 18484, frames 15958311, run epr 648.62, run loss 465.36

