
time 03h 18m 02s, episodes 15206, frames 12.1M, run epr 412.57, run loss 40.53
time 03h 19m 06s, episodes 15275, frames 12.2M, run epr 423.33, run loss 47.95
time 03h 20m 30s, episodes 15371, frames 12.3M, run epr 411.92, run loss 47.85
time 03h 21m 34s, episodes 15445, frames 12.4M, run epr 394.52, run loss 48.83
time 03h 22m 50s, episodes 15533, frames 12.4M, run epr 413.45, run loss 44.37
time 03h 24m 03s, episodes 15618, frames 12.5M, run epr 405.34, run loss 46.23
time 03h 25m 14s, episodes 15706, frames 12.6M, run epr 405.35, run loss 48.22
time 03h 26m 27s, episodes 15795, frames 12.7M, run epr 390.07, run loss 41.20
time 03h 27m 30s, episodes 15868, frames 12.7M, run epr 384.77, run loss 40.08
time 03h 28m 32s, episodes 15942, frames 12.8M, run epr 374.67, run loss 32.43
time 03h 29m 34s, episodes 16013, frames 12.8M, run epr 376.28, run loss 36.01
time 03h 30m 55s, episodes 16108, frames 12.9M, run epr 390.09, run loss 36.87
time 03h 32m 16s, episodes 16204, frames 13.0M, run epr 391.32, run loss 37.03
time 03h 33m 26s, episodes 16287, frames 13.1M, run epr 385.86, run loss 40.18
time 03h 34m 35s, episodes 16373, frames 13.1M, run epr 385.60, run loss 42.87
time 03h 35m 43s, episodes 16454, frames 13.2M, run epr 390.45, run loss 41.83
time 03h 36m 54s, episodes 16535, frames 13.3M, run epr 411.93, run loss 45.62
time 03h 37m 59s, episodes 16609, frames 13.3M, run epr 394.09, run loss 37.06
time 03h 39m 14s, episodes 16696, frames 13.4M, run epr 411.47, run loss 45.39
time 03h 40m 16s, episodes 16768, frames 13.5M, run epr 415.98, run loss 43.28
time 03h 41m 25s, episodes 16842, frames 13.6M, run epr 425.67, run loss 42.23
time 03h 42m 35s, episodes 16919, frames 13.6M, run epr 418.95, run loss 40.41
time 03h 43m 47s, episodes 16999, frames 13.7M, run epr 424.18, run loss 40.66
time 03h 44m 50s, episodes 17075, frames 13.8M, run epr 392.04, run loss 36.90
time 03h 46m 03s, episodes 17160, frames 13.8M, run epr 405.00, run loss 43.08
time 03h 47m 13s, episodes 17239, frames 13.9M, run epr 412.11, run loss 48.08
time 03h 48m 21s, episodes 17314, frames 14.0M, run epr 414.99, run loss 45.11

	14M frames: saved model

time 03h 49m 34s, episodes 17404, frames 14.0M, run epr 407.78, run loss 43.16
time 03h 50m 41s, episodes 17480, frames 14.1M, run epr 419.96, run loss 44.54
time 03h 51m 52s, episodes 17552, frames 14.2M, run epr 424.33, run loss 46.32
time 03h 53m 00s, episodes 17634, frames 14.2M, run epr 404.09, run loss 40.17
time 03h 54m 03s, episodes 17703, frames 14.3M, run epr 420.95, run loss 46.53
time 03h 55m 35s, episodes 17812, frames 14.4M, run epr 390.32, run loss 51.74
time 03h 56m 39s, episodes 17897, frames 14.5M, run epr 345.09, run loss 43.05
time 03h 57m 46s, episodes 17978, frames 14.5M, run epr 345.84, run loss 38.03
time 03h 58m 50s, episodes 18053, frames 14.6M, run epr 365.77, run loss 41.11
time 04h 00m 13s, episodes 18153, frames 14.7M, run epr 379.48, run loss 41.96
time 04h 01m 18s, episodes 18230, frames 14.7M, run epr 390.98, run loss 39.86
time 04h 02m 33s, episodes 18312, frames 14.8M, run epr 409.94, run loss 39.02
time 04h 03m 48s, episodes 18394, frames 14.9M, run epr 436.70, run loss 46.85
time 04h 04m 58s, episodes 18473, frames 15.0M, run epr 427.89, run loss 45.63
time 04h 06m 06s, episodes 18558, frames 15.0M, run epr 405.05, run loss 37.58
time 04h 07m 19s, episodes 18647, frames 15.1M, run epr 383.69, run loss 36.71
time 04h 08m 31s, episodes 18714, frames 15.2M, run epr 415.85, run loss 45.18
time 04h 09m 35s, episodes 18789, frames 15.2M, run epr 413.27, run loss 42.89
time 04h 10m 38s, episodes 18860, frames 15.3M, run epr 409.40, run loss 41.61
time 04h 11m 48s, episodes 18935, frames 15.4M, run epr 416.00, run loss 42.12
time 04h 12m 51s, episodes 19006, frames 15.4M, run epr 410.06, run loss 36.62
time 04h 14m 04s, episodes 19090, frames 15.5M, run epr 389.16, run loss 35.92
time 04h 15m 05s, episodes 19163, frames 15.6M, run epr 408.55, run loss 44.92
time 04h 16m 25s, episodes 19255, frames 15.6M, run epr 390.26, run loss 41.66
time 04h 17m 37s, episodes 19340, frames 15.7M, run epr 381.33, run loss 34.39
time 04h 19m 00s, episodes 19445, frames 15.8M, run epr 376.14, run loss 42.85
time 04h 20m 12s, episodes 19529, frames 15.9M, run epr 394.23, run loss 42.07
time 04h 21m 28s, episodes 19614, frames 15.9M, run epr 411.77, run loss 46.36

	16M frames: saved model

time 04h 22m 44s, episodes 19694, frames 16.0M, run epr 437.12, run loss 42.01
time 04h 23m 49s, episodes 19765, frames 16.1M, run epr 437.34, run loss 52.21
time 04h 24m 59s, episodes 19850, frames 16.2M, run epr 408.91, run loss 52.52
time 04h 26m 07s, episodes 19922, frames 16.2M, run epr 430.42, run loss 53.61
time 04h 27m 17s, episodes 19999, frames 16.3M, run epr 444.36, run loss 53.86
time 04h 28m 31s, episodes 20079, frames 16.4M, run epr 422.48, run loss 46.29
time 04h 29m 49s, episodes 20164, frames 16.4M, run epr 427.63, run loss 44.52
time 04h 31m 05s, episodes 20250, frames 16.5M, run epr 425.67, run loss 48.73
time 04h 32m 07s, episodes 20320, frames 16.6M, run epr 416.98, run loss 47.42
time 04h 33m 14s, episodes 20391, frames 16.6M, run epr 436.72, run loss 47.87
time 04h 34m 27s, episodes 20471, frames 16.7M, run epr 428.47, run loss 50.28
time 04h 35m 35s, episodes 20541, frames 16.8M, run epr 434.31, run loss 44.42
time 04h 36m 55s, episodes 20632, frames 16.9M, run epr 431.20, run loss 46.73
time 04h 38m 03s, episodes 20706, frames 16.9M, run epr 424.50, run loss 46.35
time 04h 39m 09s, episodes 20778, frames 17.0M, run epr 442.88, run loss 45.24
time 04h 40m 18s, episodes 20855, frames 17.1M, run epr 424.41, run loss 46.35
time 04h 41m 25s, episodes 20929, frames 17.1M, run epr 429.37, run loss 46.35
time 04h 42m 44s, episodes 21014, frames 17.2M, run epr 440.43, run loss 53.75
time 04h 43m 51s, episodes 21090, frames 17.3M, run epr 424.06, run loss 51.84
time 04h 44m 58s, episodes 21163, frames 17.3M, run epr 431.92, run loss 55.00
