
time 04h 51m 18s, episodes 8667, frames 23.5M, mean epr 17.35, run loss -45.15
time 04h 52m 18s, episodes 8704, frames 23.6M, mean epr 17.47, run loss -45.46
time 04h 53m 18s, episodes 8731, frames 23.7M, mean epr 17.37, run loss -46.42
time 04h 54m 18s, episodes 8765, frames 23.8M, mean epr 17.42, run loss -47.25
time 04h 55m 19s, episodes 8795, frames 23.9M, mean epr 17.54, run loss -46.01
time 04h 56m 19s, episodes 8827, frames 23.9M, mean epr 17.49, run loss -45.87

	24M frames: saved model

time 04h 57m 19s, episodes 8858, frames 24.0M, mean epr 17.53, run loss -47.28
time 04h 58m 19s, episodes 8890, frames 24.1M, mean epr 17.59, run loss -46.86
time 04h 59m 19s, episodes 8923, frames 24.2M, mean epr 17.81, run loss -45.12
time 05h 00m 19s, episodes 8950, frames 24.3M, mean epr 17.70, run loss -45.48
time 05h 01m 19s, episodes 8987, frames 24.4M, mean epr 17.70, run loss -44.75
time 05h 02m 19s, episodes 9013, frames 24.4M, mean epr 17.81, run loss -44.28
time 05h 03m 19s, episodes 9047, frames 24.5M, mean epr 17.81, run loss -43.32
time 05h 04m 19s, episodes 9077, frames 24.6M, mean epr 17.86, run loss -43.72
time 05h 05m 19s, episodes 9111, frames 24.7M, mean epr 17.88, run loss -45.21
time 05h 06m 19s, episodes 9142, frames 24.8M, mean epr 17.95, run loss -43.29
time 05h 07m 19s, episodes 9172, frames 24.9M, mean epr 17.78, run loss -45.23
time 05h 08m 19s, episodes 9205, frames 24.9M, mean epr 17.79, run loss -44.88
time 05h 09m 19s, episodes 9238, frames 25.0M, mean epr 17.97, run loss -43.14
time 05h 10m 19s, episodes 9267, frames 25.1M, mean epr 18.21, run loss -41.60
time 05h 11m 19s, episodes 9302, frames 25.2M, mean epr 18.22, run loss -42.64
time 05h 12m 20s, episodes 9335, frames 25.3M, mean epr 18.45, run loss -39.85
time 05h 13m 20s, episodes 9367, frames 25.4M, mean epr 18.28, run loss -42.46
time 05h 14m 20s, episodes 9395, frames 25.4M, mean epr 18.33, run loss -42.19
time 05h 15m 20s, episodes 9432, frames 25.5M, mean epr 18.26, run loss -42.92
time 05h 16m 20s, episodes 9459, frames 25.6M, mean epr 18.43, run loss -41.77
time 05h 17m 20s, episodes 9496, frames 25.7M, mean epr 18.40, run loss -41.77
time 05h 18m 20s, episodes 9525, frames 25.8M, mean epr 18.40, run loss -40.81
time 05h 19m 20s, episodes 9557, frames 25.8M, mean epr 18.19, run loss -41.34
time 05h 20m 20s, episodes 9588, frames 25.9M, mean epr 18.02, run loss -40.49

	26M frames: saved model

time 05h 21m 20s, episodes 9618, frames 26.0M, mean epr 17.84, run loss -42.85
time 05h 22m 20s, episodes 9652, frames 26.1M, mean epr 17.89, run loss -43.29
