
time 03h 06m 13s, episodes 15809, frames 13.2M, mean epr 397.16, run loss 67.95
time 03h 07m 13s, episodes 15874, frames 13.2M, mean epr 399.09, run loss 63.01
time 03h 08m 13s, episodes 15932, frames 13.3M, mean epr 398.25, run loss 63.65
time 03h 09m 13s, episodes 15984, frames 13.3M, mean epr 395.47, run loss 65.32
time 03h 10m 13s, episodes 16040, frames 13.3M, mean epr 389.42, run loss 63.93
time 03h 11m 14s, episodes 16098, frames 13.4M, mean epr 368.29, run loss 60.24
time 03h 12m 14s, episodes 16152, frames 13.4M, mean epr 383.60, run loss 62.69
time 03h 13m 14s, episodes 16210, frames 13.5M, mean epr 357.99, run loss 60.51
time 03h 14m 14s, episodes 16267, frames 13.5M, mean epr 359.47, run loss 57.95
time 03h 15m 14s, episodes 16314, frames 13.6M, mean epr 391.99, run loss 65.62
time 03h 16m 14s, episodes 16367, frames 13.6M, mean epr 391.21, run loss 68.08
time 03h 17m 14s, episodes 16428, frames 13.7M, mean epr 377.02, run loss 64.43
time 03h 18m 14s, episodes 16483, frames 13.7M, mean epr 394.61, run loss 68.97
time 03h 19m 15s, episodes 16537, frames 13.8M, mean epr 392.24, run loss 65.90
time 03h 20m 15s, episodes 16590, frames 13.8M, mean epr 386.79, run loss 64.93
time 03h 21m 15s, episodes 16651, frames 13.9M, mean epr 373.98, run loss 55.80
time 03h 22m 15s, episodes 16706, frames 13.9M, mean epr 385.14, run loss 67.93
time 03h 23m 15s, episodes 16756, frames 13.9M, mean epr 386.41, run loss 66.15
time 03h 24m 15s, episodes 16806, frames 14.0M, mean epr 402.89, run loss 68.05

	14M frames: saved model

time 03h 25m 15s, episodes 16863, frames 14.0M, mean epr 392.80, run loss 69.73
time 03h 26m 15s, episodes 16920, frames 14.1M, mean epr 386.63, run loss 66.42
time 03h 27m 15s, episodes 16980, frames 14.1M, mean epr 385.16, run loss 65.78
time 03h 28m 16s, episodes 17035, frames 14.2M, mean epr 392.65, run loss 71.24
time 03h 29m 16s, episodes 17097, frames 14.2M, mean epr 375.44, run loss 62.42
time 03h 30m 16s, episodes 17153, frames 14.3M, mean epr 375.54, run loss 59.39
time 03h 31m 16s, episodes 17227, frames 14.4M, mean epr 409.96, run loss 69.87
time 03h 32m 16s, episodes 17302, frames 14.4M, mean epr 405.68, run loss 70.45
time 03h 33m 16s, episodes 17384, frames 14.5M, mean epr 406.19, run loss 79.04
time 03h 34m 16s, episodes 17464, frames 14.6M, mean epr 401.66, run loss 74.71
time 03h 35m 16s, episodes 17527, frames 14.6M, mean epr 396.80, run loss 75.39
time 03h 36m 16s, episodes 17586, frames 14.7M, mean epr 422.05, run loss 76.87
time 03h 37m 17s, episodes 17643, frames 14.7M, mean epr 390.54, run loss 64.05
time 03h 38m 17s, episodes 17701, frames 14.8M, mean epr 388.45, run loss 65.86
time 03h 39m 17s, episodes 17748, frames 14.8M, mean epr 384.63, run loss 67.78
time 03h 40m 17s, episodes 17800, frames 14.9M, mean epr 399.83, run loss 63.42
time 03h 41m 17s, episodes 17857, frames 14.9M, mean epr 418.63, run loss 68.45
time 03h 42m 17s, episodes 17914, frames 15.0M, mean epr 410.12, run loss 72.37
time 03h 43m 17s, episodes 17957, frames 15.0M, mean epr 432.48, run loss 71.43
time 03h 44m 17s, episodes 18014, frames 15.0M, mean epr 424.89, run loss 69.14
time 03h 45m 18s, episodes 18063, frames 15.1M, mean epr 416.45, run loss 74.64
time 03h 46m 18s, episodes 18110, frames 15.1M, mean epr 419.57, run loss 76.48
time 03h 47m 18s, episodes 18163, frames 15.2M, mean epr 424.14, run loss 74.76
time 03h 48m 18s, episodes 18218, frames 15.2M, mean epr 421.54, run loss 68.91
time 03h 49m 18s, episodes 18265, frames 15.3M, mean epr 426.04, run loss 71.73
time 03h 50m 18s, episodes 18318, frames 15.3M, mean epr 431.01, run loss 74.09
time 03h 51m 18s, episodes 18371, frames 15.4M, mean epr 421.85, run loss 72.68
time 03h 52m 18s, episodes 18421, frames 15.4M, mean epr 413.48, run loss 68.38
time 03h 53m 18s, episodes 18470, frames 15.5M, mean epr 422.81, run loss 74.18
time 03h 54m 18s, episodes 18520, frames 15.5M, mean epr 409.94, run loss 75.05
time 03h 55m 18s, episodes 18573, frames 15.5M, mean epr 404.98, run loss 79.49
time 03h 56m 19s, episodes 18624, frames 15.6M, mean epr 401.70, run loss 76.43
