
time 05h 29m 09s, episodes 5547, frames 17.3M, run epr 17.79, run loss -33.03
time 05h 30m 48s, episodes 5583, frames 17.4M, run epr 17.65, run loss -32.91
time 05h 32m 22s, episodes 5619, frames 17.5M, run epr 17.66, run loss -32.59
time 05h 34m 04s, episodes 5655, frames 17.6M, run epr 17.50, run loss -33.46
time 05h 35m 05s, episodes 5679, frames 17.6M, run epr 17.63, run loss -31.42
time 05h 36m 53s, episodes 5720, frames 17.7M, run epr 17.56, run loss -30.79
time 05h 38m 32s, episodes 5753, frames 17.8M, run epr 17.53, run loss -32.34
time 05h 40m 13s, episodes 5790, frames 17.9M, run epr 17.55, run loss -32.77

	18M frames: saved model

time 05h 42m 01s, episodes 5830, frames 18.1M, run epr 17.78, run loss -31.93
time 05h 43m 44s, episodes 5868, frames 18.2M, run epr 17.85, run loss -32.20
time 05h 45m 12s, episodes 5900, frames 18.2M, run epr 18.06, run loss -31.13
time 05h 46m 52s, episodes 5938, frames 18.3M, run epr 17.95, run loss -31.35
time 05h 48m 43s, episodes 5978, frames 18.5M, run epr 17.81, run loss -33.76
time 05h 50m 17s, episodes 6012, frames 18.6M, run epr 17.63, run loss -33.89
time 05h 52m 00s, episodes 6056, frames 18.7M, run epr 17.64, run loss -33.48
time 05h 53m 30s, episodes 6092, frames 18.8M, run epr 17.97, run loss -32.70
time 05h 54m 54s, episodes 6126, frames 18.9M, run epr 17.89, run loss -32.73
time 05h 56m 28s, episodes 6163, frames 19.0M, run epr 17.83, run loss -32.78
time 05h 58m 10s, episodes 6202, frames 19.1M, run epr 17.73, run loss -32.35
time 05h 59m 46s, episodes 6241, frames 19.2M, run epr 17.69, run loss -32.28
time 06h 01m 29s, episodes 6286, frames 19.3M, run epr 17.97, run loss -30.52
time 06h 03m 14s, episodes 6328, frames 19.4M, run epr 17.74, run loss -33.23
time 06h 04m 46s, episodes 6368, frames 19.5M, run epr 18.01, run loss -33.32
time 06h 06m 05s, episodes 6402, frames 19.6M, run epr 18.22, run loss -31.65
time 06h 07m 36s, episodes 6442, frames 19.7M, run epr 18.07, run loss -33.12
time 06h 09m 06s, episodes 6480, frames 19.8M, run epr 17.91, run loss -32.67
time 06h 10m 42s, episodes 6521, frames 19.9M, run epr 17.92, run loss -31.45

	20M frames: saved model

time 06h 12m 17s, episodes 6560, frames 20.1M, run epr 17.66, run loss -33.97
time 06h 13m 51s, episodes 6598, frames 20.2M, run epr 17.53, run loss -32.20
time 06h 15m 28s, episodes 6640, frames 20.3M, run epr 17.47, run loss -31.33
time 06h 17m 11s, episodes 6683, frames 20.4M, run epr 17.65, run loss -32.74
time 06h 18m 28s, episodes 6720, frames 20.5M, run epr 17.98, run loss -31.49
time 06h 20m 01s, episodes 6760, frames 20.6M, run epr 18.00, run loss -33.26
time 06h 21m 30s, episodes 6800, frames 20.7M, run epr 18.16, run loss -32.07
time 06h 23m 03s, episodes 6841, frames 20.8M, run epr 18.24, run loss -31.18
time 06h 24m 35s, episodes 6880, frames 20.9M, run epr 18.15, run loss -32.87
time 06h 26m 09s, episodes 6924, frames 21.0M, run epr 18.17, run loss -32.35
time 06h 27m 49s, episodes 6967, frames 21.2M, run epr 18.23, run loss -33.52
time 06h 29m 32s, episodes 7011, frames 21.3M, run epr 18.12, run loss -35.94
time 06h 30m 51s, episodes 7045, frames 21.4M, run epr 18.20, run loss -34.28
time 06h 32m 32s, episodes 7091, frames 21.5M, run epr 18.35, run loss -33.88
time 06h 34m 11s, episodes 7136, frames 21.6M, run epr 18.28, run loss -33.28
time 06h 35m 43s, episodes 7178, frames 21.7M, run epr 18.35, run loss -33.26
time 06h 37m 09s, episodes 7216, frames 21.8M, run epr 18.28, run loss -33.57
time 06h 38m 32s, episodes 7256, frames 21.9M, run epr 18.45, run loss -34.55

	22M frames: saved model

time 06h 39m 54s, episodes 7289, frames 22.0M, run epr 18.55, run loss -34.20
time 06h 41m 22s, episodes 7329, frames 22.1M, run epr 18.50, run loss -34.02
time 06h 42m 59s, episodes 7371, frames 22.2M, run epr 18.17, run loss -33.26
time 06h 44m 32s, episodes 7412, frames 22.3M, run epr 17.88, run loss -32.87
time 06h 46m 00s, episodes 7450, frames 22.4M, run epr 17.98, run loss -31.99
time 06h 47m 26s, episodes 7489, frames 22.6M, run epr 18.09, run loss -32.87
time 06h 48m 47s, episodes 7522, frames 22.7M, run epr 18.14, run loss -31.94
time 06h 50m 06s, episodes 7560, frames 22.7M, run epr 18.26, run loss -33.32
time 06h 51m 38s, episodes 7603, frames 22.9M, run epr 18.45, run loss -33.76
time 06h 53m 13s, episodes 7644, frames 23.0M, run epr 18.35, run loss -33.59
time 06h 54m 56s, episodes 7692, frames 23.1M, run epr 18.31, run loss -33.45
time 06h 56m 21s, episodes 7732, frames 23.2M, run epr 18.37, run loss -33.52
time 06h 57m 50s, episodes 7771, frames 23.3M, run epr 18.18, run loss -34.31
